idx,question,is_victim
323,"sns에서 특정인 지목없이 댓글에 욕을 하였습니다.
안녕하세요.페이스북(sns)상에서 혜화역 메갈리언들 이라는 동영상이 있엇습니다.그 동영상 댓글에 그냥 꺼져라 씨뻘련들아 라고 썻는데그게 고소가 됐다고 동영상에 얼굴이 나오신분이 신고했다고 합니다.저는 뭐 누군가를 특정지어서 욕했다기 보다는 그냥 아무 생각없이꺼져라 씨벌련들아를 쓴것뿐인데 경찰서에 조사 받으러 가서 뭐라고 말을해야할지 모르겠습니다.그사람을 딱 정해놓고 욕한것도 아니고이름을 언급하거나 특징을 언급 하지도 않앗습니다.이게 고소가 되나 싶지만 우선 경찰서에서 오라고하니가서 뭐라고 말을 해야할지 정리좀 해주세요.. 매우 당황스럽습니다. 이런 경우가 처음이라...ㅠㅠ",가해
324,"게임상 욕설 고소가 될까요?
아는 지인 2명이랑 저 셋이서 게임을 하다가 겜을 못한다는 이유로애미니 씨발년이니 뭐니 20분동안 모욕을 당했네용중간에 이건 고소감이다 싶어서 제가 나한테 한말이냐 물었고 너한테 한거 맞다고 끊임없이 욕설을 한걸 캡쳐해서 pdf파일로 저장을 했구요.(실제대화: 나한테 지금 애미없냐고 욕하는거냐? - 그럼 너밖에 더있냐 씨발년아 애미없어서 지능도 존나딸리죠? 줮같죠?)공연성과 특정성이 있어야한다고 들어서 나한테 한말이냐고 공개적으로 물었고 제 얼굴아는 지인들과 모르는 사람 2명에게 절 모욕하는 언사를 했기때문에 공연성도 성립된다고 생각해서 증거물을 들고 경찰서에 갈건데 고소가 성립이 될까요..?!",피해
325,"게임속 패드립 신고
제가 여러명이서 모르는 사람끼리 게임을 하던중 시작과 동시에 패드립 및 욕설을 하시는 분들이 계시더라구요 이런 상황에서 예) 저는 경기도 하남시 사는 홍길동입니다 한번만더 욕설및 패드립 허위사실 유포시고소하겠습니다 <- 이렇게 말한 뒤에도 상대방이 계속해서 욕설이나 패드립을 할 시 고소가 가능할까요??예) (위에 경고글 작성하고서 제 색깔이 빨강색이고 게임캐릭터 이름이 가렌인경우) ??? : 빨강색 XX야 어머니 XXXX ???: 가렌이 XXXX야여러명이서 게임을 한다는 부분에서 공연성이 성립하고 제가 주소와 이름을 밝혔다는 점에서 특정성이 성립한 것 같습니다. 이런 상황에서도 고소가 가능할까요??",피해
329,"게임 채팅 고소
서든어택이라는 게임을 하고있었는데 상대가 갑자기 욕설을 시작했습니다. 이유도 없이요 제 어머니보고 챙녀라고 하면서 성기를 직접 언급하고 했습니다.그래서 제가 제 번호 학교 이름 주소까고 난 다음에 하지 말라고 했는데제 닉네임을 언급하면서 000 애미 챙녀~ 이런식으로 도배를 하더라구요제가 계속 싱상 까고 하지 말라 하니 ㅈ 까라고 하면서 내 아이디도 아니야 잡아봐 ㅂ신아 이러더라구요.게임에서 캡쳐를 하지 못해서 사진으로 찍었는데.시간이 나타나 있지 않고 제가 케릭터를 죽고 죽인 횟수가 게임진행될수록 늘어나는데 그게 시간순서로 인정되나요? 제 신상 깐 부분이랑 욕한부분 채팅 핸드폰 사진으로 찍어놓았습니다",피해
334,"롤 욕설 고소
롤을 하다가 상대가 저에게 애미 먹는다 거리면서 패드립을 했습니다. 하지만 제 챔프나 아이디는 언급하지 않고 그냥 너 너 거리면서 패드립을 치길래 지금 저한테 패드립 하신건가요? 라고 하였더니 그래 너 너 너말이야 애미 거리면서 패드립을 했습니다. 상대가 저한테 패드립을 한 것이지만 제 아이디나 챔프 같은 건 언급하지 않았고 제 신상정보도 알리지 않았습니다. 참고로 저는 욕설 같은건 하지 않았습니다. 상대도 욕설은 아니고 어미 거리면서 모욕적인 패드립을 많이 쳤고요. 저는 신고하겠다고 말했습니다. 문맥상 저한테 하는 패드립이고 저한테 하신거냐고 확인 사살도 하였습니다. 이걸로 고소가 성립이 될까요?",피해
335,"인터넷 모욕 특정성 성립
저는 개인 블로그도 있고 인터넷에 몸짱으로 소문난 일반인입니다. 물론 신상도 공개되어있구요.얼마전 게임을 하다가 어떤 사람과 시비가 붙게되었습니다 문제는 저의 게임 아이디가 인터넷에 알려진 저의 이름인데 그 게임속 시비건 사람이 니가 그 유명한 땡땡땡이냐며 현실은 멸치 주제에 거짓말 치지말라며 비웃고 욕을했습니다 그래서 실제로 나인걸알리기위해 인스타아이디와 카톡아이디 전화번호까지 줬지만 그사람은 확인하지 않고 계속 비아냥거리면서 욕을 하더군요 이런경우특정성성립이 되어서 고소가될까요? 또 된다면 얼마나걸릴까요?모욕별거아닌것 같아두 개인적으로 굉장히 화가났던 일이라고소가 가능한지궁금합니다.",피해
340,"롤 게임 고소
롤 게임 고소롤을하는도중 제가정글이었는데 원딜러가 계속 죽어서 적당히못해라라는식으로얘기했는데 꾸준히 죽으면서 바텀에미니언이많아 바텀에가자 정글이바텀이나처가고라는식으로 비꼬아 열불나서 게임에서 제재받을정도에 욕설을하였습니다. 그때그냥 쌔게나오려고 전번을묻자 진짜전번을 줬지만 저는 무시하였습니다. 근데 또계속죽자 작작죽으라는식으로 말했는데 정지나처먹어라 이런식으로얘기해서 패드립을하였습니다 여기서 팀챗으로말하였으니 공연성 성립인데 자기가어디사는누구인지 자기를말했으니 이제부ㅡ터욕하면 고소에 응하겠다라는 말을 하지않고 전화번호를 준상태에서 욕을하였지만 그냥 고소한다고하는데 특정성에 성립되는지 궁금합니다.",가해
341,"군대 성희롱
2019년 8월 초 선임들이랑 동기들이 다 있는곳에서 한 선임이 갑자기 시마켄tv얘기를 하다가 저를 보면서 'ㅇㅇ이는 생긴게 X지를 잘빨게 생긴 상이노'라고 말했습니다. 그 말 한마디에 저를 제외한 다른 병들이낄낄대며 웃었고 저는 당황해서 어떻게 반응해야할지 몰랐습니다. 그래서 어버버..거리다 'ㅇㅇ이 X꼭지 빨고 있노'라고 제차 저를 희롱했습니다. 공개적인 장소에서 그런 모욕을 받았다는게 너무 수치스럽습니다..빨리 잊어야지 하고 다른생각도 하고 좀 더 제 일을 열심히 하려하지만 계속 머리속에서 그 문제의 선임병의 말과 다른 병들의 웃음이 떠나가지 않습니다. 어떻게 하는게 좋을지 모르겠습니다.",피해
344,"게임 고소
게임(롤)을하다가 팀원중 한명이 너무못해서 제가 ""진짜 쓸모없다"" 이런식으로 말했더니 그 팀원이 ""그래 나 쓸모없으니까 열심히안할게~"" 이런식으로 얘기를하니 화가너무나서 ㅂㅅㅅㄲ이런식으로 초성으로 욕을했습니다. 그러더니 자기가 사는지역과 이름을 얘기하더니 더 욕해보라면서 고소할거라고 하더군요. 저는 어이가없고 화만 더나서 욕을 더했습니다. 하지만 그팀원의 캐릭터이름이나 닉네임을 불러서 욕한적도없고 그냥 욕만했습니다. 그리고 초성으로만 욕을했습니다. 근데 시간이 좀 지나고 욕 더 안하냐고 계속 도발도하길래 그냥 고소열심히 하라고하면서 차단했습니다. 이런상황에서도 고소가성립이되는지 궁금합니다.",가해
345,"롤 1대1문의
오늘 6시 부터 13시까지 정검 있어서 6시 중간 걸치는 게임들은 강종 돼서 리폿을 못했는데 저 전화번호 실 거주지,이름 까지 말하고 한번만 더 욕하시면 고소 한다했는데 ㄴㄱㅁ 벌레 저새@ㄲ끼 고소 못한다고 우리가 맞고소 하자, 고소한다고 협박 한걸로 고소 하자 이런식으로 말했는대 이거 롤 홈피에서 1대1 문의로 채팅 내역받을수 있는지 궁금 합니다. 그리고 저는 욕 한마디도 안했고 이걸로 고소하면 피해금액,불이익(상대,나 둘다) 시간 고소상대 신상 이런거 아는 법이랑 고소 절차좀 1. 2. 3. 이런식으로 알려주시면 고마벴습니다- 관할법원 - 진행사항(1심,2심,3심) - 청구금액",피해
348,"게임상에서 욕을 들어서 너무 기분이 나빠서..어떻게 할지 몰라서 문의드려요..
제가 맥분들이랑 게임을 하고있었는데하는도중에 이야기를 하던 중이였습니다근데 어떤분이 갑자기 와서 밖에 나가서 문화생활이라도 좀 해봐이 병1신아ㅋㅋ /이 병1신 새1끼야 /혼자 웃기만 하는 병1신새1기인데 내가 머라고 해줄가 이 스레기새1기야 /너희 엄마가 민망하시겠다 /엄마가 창련이노 /(닉네임)너는 너같은 개1새1기들이 하는짓이 그거야 /등등 많은 패드립이랑 욕을하셨습니다이런 사소한일도 고소가 가능할지가 궁금해서 문의드려요!제일 궁금한게고소하는법 / 고소가 가능한지 안되는지 / 고소 할때 비용입니다 좋은밤되세요",피해
1288,"게임 욕 고소질문
어떤 던지는애 있길레 패드립같은 팩트 날렸고 걔가 지 사는곳과 이름 말하면서 또해봐 ㅋ 이런식으로 하고 자기는 검찰청 다니는데 자기 사무관이 이거 고소된다고 했다는데 고소되나요?",가해
1290,"게임상 욕 고소
전 그 사람에게 아무런 말도 안했는데 갑자기 저한테 욕을 계속 하네요정확하게 병x 이런게 아니라 ㅂㅅ ㅈㄹㅂ(지랄병) 말을 못 배웠네 등 이런 욕과 비하 발언을 했는데 가능한가요?",피해
1292,"패드립 고소
제가 어떤 분에게 패드립을 했거든요 애미없다고.그거 민사나 형사상으로 고소가 가능한가요? 한마디 했는데...아 저 지금 너무 떨리는데..... 일단 자세하고 섬세한 답변 부탁드립니다",가해
1293,"성희롱 질문입니다..
얼마전 남자친구와 싸우다가남자친구한테 헤어지는 과정에서성희롱 언어적 희롱을 당했습니다증거는 없지만 너무 화가납니다걸레같은년 ㅈ같은년 이라는데증거는 없는데어떻게 해야하나요..",피해
1295,"삭제된 패드립
고소 가능할까요?? ㅇㅇ(우리엄마) 뒤진 새;끼라는 서리를 들었고 바로 삭제해서 캡쳐를 못했습니다 ㅠㅠ그뒤로 찐따라느니 ㅂㅅ이라느니 남겨둔건 캡쳐했는데 신고 되나요…당근마켓입니다",피해
1299,"카카오톡 1:1대화 이름 얘기하면서 패드립
카카오톡으로 1:1 패드립으로 제 이름을 얘기하면서 제 어모니 들먹이면서 강간다해서 낳음 당했당다고 패드립이 심한 카톡 캡쳐본 있는데 고소 힘드나요?",피해
460,"게임하다가 욕한거가지고도 고소가되나요?
제가 롤을하다가 우리팀원중한명이 갑자기 제 라인으로와서 경험치랑 cs먹고 죽어서 욕을했거든요 ex)아니 cs좀 쳐먹지 말라고,니가 쳐때려봤자 딜이나 쳐 나올줄알아? 또 뒤지네 아진짜 ㅈㄴ못해이정도로 했고 패드립,인신공격 아무것도안했구요 개인정보도 아예모릅니다 근데 그 팀원이자기 고소해봤다고 합의없고 몇일있다가 연락갈꺼라고 캡쳐하는중이라는데 먼저 자기가 원인제공해놓고선 욕했다고 고소한다는게 도대체 무슨상황인지 이해도안되고 이게진짜 성립이 되는지도몰라서물어봅니다 이게 진짜 고소가되나요?",가해
1309,"게임 패드립
게임도중 패드립 고소 하고 싶은데 주소 실명 핸드폰번호 이 3가지중 하나라도 쓰게 되면 고소성립이 가능한가요?? 그리고 패드립 내용은 특정인물을 지목안하고 ㄴㄱㅁ 라고 했습니다.",피해
1313,"연예인 비하 발언 고소 가능성
제가 프듀 보면 매국노 라고? 빻탄 얼굴이 더 매국이야 라고 트위터에 올렸는데 피디엪 따였거든요? 1.고소 당할 가능성 2.고소시 형벌(미성년자 입니다",가해
1315,"전화번호 집주소 피해 고소
제가 문자로 모르는 사람에게서 너ㅇㅇ 맞냐/ 너네집으로 (성적인 언행) 찾아간다ㅋㅋㅋ 등의 문자를 받았는데요 이거 모욕 또는 통신매체 음란으로 고소 가능한가요?",피해
1320,"전화로 패드립
제가 겜하다가 전번받고 전화로 패드립과 욕설 했습니다. 패드립 쳤을때는 이름도 모르는 상태였구요. 후에 고소한다길래 다시 전화걸어 사과도 드렸습니다 이경우 고소가 될까요??",가해
1321,"블로그에 명예훼손
블로그에 댓글을 달았는데 댓글 내용이 제 이름을 거론하며 남자에 미쳤다, 다리벌리고 다닌다, 걸레로 보인다 이런 댓글 달았는데 신고 가능한가요? 어디에 신고해야되나요?",피해
479,"게임에서 욕한거 처벌어떻해해야하나요?
안녕하세요 여러분 제가 게임을 하면서 아무이유없이 욕설을 들었는데요 이런 욕설처벌 어떻게 안되나요 또 제가 너무 황당해서 증거를 많이 모으지 못했는데 이러면 어떻게 해야되나요? 욕설한 내용은 : 뇌에 우동사리가 들었다, 병ㅅ새ㄲ, ㅅ발련, 시ㅂ 병ㅅ, 븅ㅅ, 닥ㅊ, 같은 단어를 여러개 사용하고 비꼬는듯이 말하고 처음에 들었을때는 정말화나고 어이없었습니다. 이렇게 했을때 어떻게 처벌해야 되는지 알려주세요 증거가 부족해도 처벌이 가능한지 제 기역속에 한말들은 다 기억나요",피해
1327,"당근마켓 인신공격으로 고소 가능하나요? ( 내공 20)
어떤분이 저보고 역겹다 좆같다 씨발미친놈 이런식으로 욕했는데 고소 가능해요?? 저보고 고소 하겠다고 하고 저도 맞고소 하려는데요",피해
1330,"피파 고소 관련
피파를 하다가 상대방이 채팅으로 저보고 니네 애2미 전자레인지에 구워진련이잖아 ㅋㅋ 이러는데 경찰에 신고 가능한지요? 경찰에 신고해도 맨땅에 헤딩일까요?? 내공 겁니다",피해
1334,"고소 관련
제가 서든어택을 하다가 상대가 저한테 못 한다고 하길래 못 하는건 니엄마 허리돌림인거 같은데?라고 했습니다닉네임언급은 안 했구요. 고소성립이 될까요?패드립이 나쁜건 압니다.",가해
1336,"패드립 고소
번개장터 대화 중 저에게 패드립을 하는데 고소 가능한가요? 느금마 보지나 쳐 빨아 ㅂㅅ아 ㅋ 라고 상대가 했는데 보통 신경 안쓰는데 유난히 오늘따라 짜증나는데 가능한가요",피해
1340,"게임 욕 신고 처벌
게임 (마인크래프트 서버) 에서 어떤분이 X같은 X끼 아씨X발 새X 라고 욕을 했는데 어떤 특정 인물에게 한건 아니고 그냥 욕을 했는데 신고시에 처벌 가능한가요?",피해
1343,"에타에서 욕설을 들었는데 고소가 가능한가요?
서로 말다툼을 하다 상대방쪽에서 저한테 좀 알고 짖어라 개같은 새끼야 니네 할애비도 친일파냐고 욕설을 했는데 고소 가능한지 궁금합니다.",피해
1346,"피파 고소
제가 피파를 하던 중 너거 엄마 따먹힌다느니 성희롱 들과 욕설을 들었는데1대1 대화형식인 채팅이어서 고소가 안되나요? 공연성 성립이 안된다고해서정확한 답변 부탁드립니다",피해
1351,"롤하다가 패드립 했는데요 고소당하나요?
상대방이 어디 사는 누구라고 하니까 제가 아 그러세요? ㅈ까세요 ㅄ아 이랬는데요너 고소 ㅅㄱ 이러던데 고소되나요? 그 전에 제가 욕하긴함",피해
1352,"롤 채팅 고소
롤을 하다가 제가 조금 심하게 욕을 했어요.실명은 까진 않고 (카타리나 병신아)이런 식으로 욕을 했습니다.. 패드립도 했구요경찰서에 고소한다는데 어떻게 됩니까?",가해
1353,"sns에 누군가를 실명으로 욕하면 고소되나요?
팔로워 팔로잉 아무것도 없는 빈 계정이고 다른 신상 안 드러낸채 김ㅁㅁ 병1신 이런 식으로 이름만 까고 욕하는게 고소되나요?",피해
1357,"롤하다가 욕고소
롤하다가 상대방이 저보고 님님 거리면서 욕을 하는데 고소 해도 되나요? 제가 걔보고 역겹다고 니 가족도 그랬으면 좋겠다고 말하긴 했어여그리고 고소 쉬울까요",피해
1358,"개임 일대일 채팅 고소
피파온라인4라는 게임에서 1:1로 게임중 심한 패드립을 당하였습니다. 제 핸드폰으로 그 사람이 했던 패드립들을 다 사진찍어두었는데 고소 가능한가요?",피해
1365,"패드립 고소
제가 페이스북 댓글에서 모르는사람이랑 시비가붙었는데 페이스북에 언급기능있잖아요 그래서 그사람 실명 언급하면서 욕하고 패드립쳤는데 고소한다네요 고소성립되나요?",가해
1367,"게임 내에서 욕, 고소하는법
게임하다가 욕을 심히들었어요ㅆㄴ 이라거나 ㅊㄴ이라거나닉네임으로 되어있지만 이게 누굴향한건지도 알수있고욕한걸 다른사람들도 봤습니다고소가능할까요",피해
1370,"온라인 성적 비하발언 고소에 대하여
안녕하세요 게임하다가 1대1채팅으로 상대방에게 근친이나 하러 가라는 말을 했습니다. 혹시 고소 조건에 성립이 되나요..? 죄송합니다.",가해
1371,"카톡 욕설 고소 당했는데
제가 그놈한테 문신충인데 열심히 살라고 1:1카톡으로 그랬는데그거 고소 당할수 있나용?그리고 경찰 아니고 검창청으로 고소했다는데 차이줌 있나요?",가해
1372,"원치않는상대로부터
어른들일에 자식에게협박성문자와(욕설과비난글)포함전화도일상생활에방해가될만큼오는데 이거고소하면어떻게진행되나요?벌금으로끝나나요?아님 합의해야되는건가요?",피해
1373,"롤 1대1 챗으로 패드립
롤 1대1로 패드립, 욕설 하는데 혹시 고소가능할까 해서요 혹시 가능하면 사람은 어떻게 찾는건지도 궁금합니다. 챗은 일단 캡처 해뒀습니다.",피해
1376,"게임채팅 고소질문
게임도중 심한패드립을 들었는데 고소가 가능한가요???상대방과 저 1대1매치중이었고'느금 불에 태워죽임' 정확히 이멘트였습니다.혹시 가능할까요???",피해
1380,"성희롱 패드립
남자친구 여사친한테 개걸X보X지 등 패드립 저희 엄마아빠도 걸레라면서 페메로 욕을했는데 신고하면 먹히나요? 신고해도 보복가능성이있어서 불안합니다 ㅜ",피해
1383,"성희롱 처벌
남자애 여러명이서 여자애한명 이름알 이용해 성희롱 하면서 놀았습니다 증거도 있고 잘못햇다는 사과도 받았는데 신고하면 처벌을 얼마나 받게 할 수 있나요",피해
1388,"에스크 고소
친구 에스크에 A라는 애(익명)이 A 친구 B 욕해서 제가 에스크 들어가서 A 욕했는데(특정 X, 아래 미친놈 뭐임이라고 함) 고소당할 수 있나요?",가해
1392,"폐이스북 성희롱
댓글로 ㅈ빠지는 새끼네ㅋㄱㅋ 라고 저한테 말했는데 어떠한 법률로 고소할수있나요? 제나이는 15세입니다 또 국선변사 선임할수 있는지도 알고싶습니다",피해
1393,"아무짓도안했는대 패드립 장애냐는소리를들었는대 이걸로고소가가능할까요 ?
게임잘하고있는대 갑자기 오더니 이러는대 이거로고소할수있을까요 ??ㅇㅁ몸팜? >>엄마몸팜?",피해
1398,"롤 패드립 고소
롤에서 채팅으로 니 m2 강 간 마렵다, 조두순이랑 한방에 가두고싶다 이런식으로 패드립을 하였는데 고소가 가능할까요? 너무 기분이 나쁘네요",피해
1400,"게임 닉네임 언급 욕설 고소 가능한가요?
게임 닉네임이 아무것도아니다 이거인데 아무것도아니다 애2미창2녀 뭐 이렇게 욕하는데 고소 가능한지 질문드립니다..",피해
1401,"롤 채팅 실명거론 패드립
손절한 친구 엄마실명으로 패드립 섹드립을 첬습니다 이거 고소되나요?참고로 저는 이 친구알고 욕하고 그 친구는 저가 욕한걸 모릅니다",가해
1402,"1:1 대화방 고소
제가 저번주에 번개장터 1대1 채팅방에서 돌대가리, 니 엄마 청년이라는 욕을 들었는데 고소 가능한가요창ㄴ이 아니라 청년이라고 했습니다",피해
1403,"롤에서 채팅으로 상대방이 저한테 벌레라고 하는데 고소될까요?
챔피언을 언급하면서 역겹다 개벌레다 등등 발언을 했고 전 신상을 까지는 않았지만 듀오였습니다",피해
1404,"욕설 고소
제가 사기죄를 당해서 사기친 사람이랑 연락중에씹xx라도 보냈는데 제가 이 사람 고소할려고 하는데제가 씹xx 욕한거 저한테 영향이 있을까요??",피해
1407,"롤 닉네임 고소 관련
제 친구창에 (연예인이름)따먹고싶다 라는닉네임이있는데 이거 그대상 연예인이 고소할수도있지 않나요? 고소하면 어떻게될까요ㅋㅋㅋㅋ",가해
1411,"롤 패드립신고될까요
제가 먼저게임포기한다 그랬는데 어떤애가이름언급없이 느네부모님도너포기한듯 그래서 캡쳐는따놨는데 걔는 제욕을한게아니라네요 신고될까요",피해
